2019-01-04 11:49:11,599 INFO  AbstractApplicationContext.java:583 - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@60f2e0bd: startup date [Fri Jan 04 11:49:11 CST 2019]; root of context hierarchy
2019-01-04 11:49:11,837 INFO  DefaultListableBeanFactory.java:828 - Overriding bean definition for bean 'niftyClientServicePool' with a different definition: replacing [Root bean: class [null]; scope=singleton; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=com.cyril.springboot.thrift.client.ThriftServiceConfiguration; factoryMethodName=niftyClientServicePool; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/cyril/springboot/thrift/client/ThriftServiceConfiguration.class]] with [Root bean: class [null]; scope=singleton; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=thriftServiceConfiguration; factoryMethodName=niftyClientServicePool; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dengjunwu/client/ThriftServiceConfiguration.class]]
2019-01-04 11:49:11,842 INFO  DefaultListableBeanFactory.java:828 - Overriding bean definition for bean 'thriftServerRunner' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=thriftAutoConfiguration; factoryMethodName=thriftServerRunner; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dengjunwu/server/autoconfigure/ThriftAutoConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=com.cyril.springboot.thrift.server.autoconfigure.ThriftAutoConfiguration; factoryMethodName=thriftServerRunner; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/cyril/springboot/thrift/server/autoconfigure/ThriftAutoConfiguration.class]]
2019-01-04 11:49:11,875 INFO  AutowiredAnnotationBeanPostProcessor.java:155 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-01-04 11:49:11,901 INFO  PostProcessorRegistrationDelegate.java:325 - Bean 'thriftServiceConfiguration' of type [com.dengjunwu.client.ThriftServiceConfiguration$$EnhancerBySpringCGLIB$$aaf531ab] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-01-04 11:49:11,904 WARN  AbstractApplicationContext.java:551 - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'annotationBean' defined in file [/Users/dengjunwu/IdeaProjects/demo-thrift-service/target/classes/com/dengjunwu/client/AnnotationBean.class]: Initialization of bean failed; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'niftyClientServicePool' defined in class path resource [com/dengjunwu/client/ThriftServiceConfiguration.class]: Unsatisfied dependency expressed through method 'niftyClientServicePool' parameter 0; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'thrift.client-com.cyril.springboot.thrift.client.config.ThriftServiceProperties': Initialization of bean failed; nested exception is java.lang.NoClassDefFoundError: javax/validation/ParameterNameProvider
2019-01-04 11:49:11,910 INFO  AutoConfigurationReportLoggingInitializer.java:101 - 

Error starting ApplicationContext. To display the auto-configuration report re-run your application with 'debug' enabled.
2019-01-04 11:57:17,673 INFO  AbstractTestContextBootstrapper.java:319 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [thrift.DemoThriftTest], using SpringBootContextLoader
